MODEL,EPOCH,TRAINACC,TRAINLOSS,TESTACC,TESTLOSS,TIME,TRAINPRECISION,TRAINRECALL,TRAINF1SCORE,TESTPRECISION,TESTRECALL,TESTF1SCORE
RESNET18,24,0.691829485,0.004477254,0.718666667,0.004399899,9389.225686,0.703031114,0.671031968,0.686658943,0.781166733,0.596964861,0.676755532
RESNET18,25,0.693531676,0.004467819,0.711,0.004519994,9255.001829,0.707607269,0.663566255,0.684879481,0.808660699,0.55897219,0.66102365
RESNET18,26,0.694715808,0.004476235,0.719666667,0.004442287,9377.313339,0.708771176,0.668301433,0.687941637,0.826767963,0.55603186,0.664896424
RESNET18,27,0.695603908,0.004475583,0.714,0.004493947,23296.75022,0.711427468,0.668595733,0.689346917,0.804423476,0.567565391,0.665549022
RESNET18,28,0.6946418,0.004506543,0.722333333,0.004314907,9555.802807,0.707852095,0.673548743,0.690274503,0.739294956,0.696662442,0.717345835
RESNET18,29,0.692643576,0.004494342,0.727333333,0.004322728,9712.43993,0.701167816,0.676256504,0.688486894,0.779428495,0.637964571,0.701637079
RESNET18,30,0.694937833,0.004472624,0.727333333,0.004303151,9710.465065,0.707839772,0.673157337,0.690063046,0.776481984,0.639425995,0.701320669
VGGNET16,1,0.567865601,0.005339758,0.630333333,0.005245937,9854.303954,0.573692059,0.571294861,0.572490951,0.677635905,0.475125472,0.558592759
VGGNET16,2,0.586145648,0.005275752,0.587333333,0.0052606,9863.037573,0.599241677,0.567546908,0.582963812,0.558973982,0.877160759,0.682818998
VGGNET16,3,0.588957963,0.005263947,0.600333333,0.00530144,9854.544597,0.613292151,0.570060684,0.590886729,0.74351607,0.291750073,0.419063
VGGNET16,4,0.592214328,0.005246175,0.619333333,0.005187,9775.889253,0.607309211,0.569092986,0.587580359,0.737288916,0.370146479,0.492859263
VGGNET16,5,0.59991119,0.005206428,0.624666667,0.005169017,14488.7217,0.60961724,0.58337816,0.596209145,0.746246504,0.374097458,0.498362877
VGGNET16,6,0.603611604,0.005195641,0.660666667,0.005087177,12614.20983,0.614879623,0.579576655,0.596706438,0.639658013,0.737607931,0.685149917
VGGNET16,7,0.594804618,0.005244549,0.636,0.005114562,12731.28114,0.610521225,0.578777791,0.594225878,0.742998856,0.409086476,0.527653248
VGGNET16,8,0.596284784,0.005231511,0.625,0.005135477,12491.81155,0.611343335,0.581779306,0.596195041,0.754904328,0.370194665,0.496776829
VGGNET16,9,0.603981646,0.005200527,0.618666667,0.005177202,12231.98203,0.613043602,0.585255173,0.598827182,0.762709427,0.345924282,0.475972738
VGGNET16,10,0.601021314,0.005219858,0.643666667,0.005068445,11853.53055,0.621269516,0.578520934,0.599133658,0.752807619,0.438744103,0.55438618
VGGNET16,11,0.590438129,0.005224418,0.667666667,0.005011465,11520.02623,0.606354746,0.573933008,0.589698575,0.707440327,0.573388474,0.633399451
VGGNET16,12,0.596284784,0.005211801,0.628,0.005123131,12444.16698,0.612670826,0.58358266,0.597773088,0.762162095,0.379348779,0.506565932
VGGNET16,13,0.601909414,0.005212829,0.644666667,0.005069851,12373.06755,0.61566481,0.591257328,0.603214274,0.741874836,0.430729675,0.545021794
VGGNET16,14,0.601909414,0.005191131,0.655333333,0.005033142,12696.79383,0.612532616,0.575450348,0.59341273,0.742083422,0.477149662,0.580832096
VGGNET16,15,0.600207223,0.005214329,0.658333333,0.005031288,12339.05619,0.614629781,0.587831361,0.600931952,0.748373941,0.475825251,0.581760257
VGGNET16,16,0.605387803,0.005192101,0.668333333,0.005006942,12073.41136,0.621067665,0.58303348,0.601449876,0.7336161,0.527072323,0.613424753
VGGNET16,17,0.597098875,0.005224157,0.673666667,0.004991531,12056.12675,0.612232893,0.579057632,0.595183327,0.714941236,0.587572629,0.645029451
VGGNET16,18,0.610272351,0.005172533,0.655666667,0.00502711,11829.72054,0.621307259,0.58648832,0.6033959,0.744106815,0.473002826,0.578361414
VGGNET16,19,0.609310243,0.005173694,0.678,0.004982,12267.33297,0.621016993,0.59011787,0.605173274,0.700010584,0.620171401,0.65767682
VGGNET16,20,0.598431024,0.005243941,0.611666667,0.00519975,12788.16119,0.617405783,0.583670923,0.600064594,0.785801573,0.307680384,0.442212563
VGGNET16,21,0.604647721,0.005183911,0.654666667,0.005028909,12514.8266,0.614367329,0.587091163,0.600419627,0.757612333,0.457419144,0.570431945
VGGNET16,22,0.60509177,0.005199399,0.655333333,0.005035568,12106.09942,0.617009499,0.589751317,0.603072556,0.760899066,0.451892105,0.567029656
VGGNET16,23,0.603759621,0.005216672,0.628666667,0.00509667,12170.31717,0.615185637,0.585157267,0.59979585,0.760288708,0.371789355,0.499377662
VGGNET16,24,0.606793961,0.005152866,0.665333333,0.005002809,12031.88038,0.618332426,0.588323433,0.602954775,0.752181292,0.489497129,0.593053043
VGGNET16,25,0.604943754,0.005191076,0.677,0.004984386,25613.69835,0.61368979,0.582515931,0.597696656,0.714783633,0.584370659,0.643031524
VGGNET16,26,0.596062759,0.005235428,0.636,0.005058831,12418.32133,0.611442316,0.585571221,0.598227192,0.760128525,0.39550477,0.520293866
VGGNET16,27,0.608052102,0.005178972,0.672666667,0.004980635,12275.06074,0.618783988,0.585389028,0.601623442,0.731553301,0.543781728,0.623844416
VGGNET16,28,0.601983422,0.005210571,0.642,0.005054803,11642.87216,0.620592376,0.580030629,0.599626335,0.762833642,0.422432256,0.543752312
VGGNET16,29,0.602427472,0.005188383,0.683,0.004972177,10619.62605,0.615697223,0.580342383,0.59749726,0.707477627,0.629335044,0.666122447
VGGNET16,30,0.599763173,0.005233848,0.624,0.005100206,10243.23542,0.621969946,0.583703766,0.602229602,0.755985773,0.359956244,0.487698814
GaborNN7Layer,1,0.513395639,0.009401943,0.496,0.005880314,977.2378844,0.421162663,0.413290549,0.417189474,0.485673791,0.185016273,0.267955527
GaborNN7Layer,2,0.537279335,0.005613906,0.504333333,0.005645303,24.93152176,0.462005961,0.303755085,0.366528594,0.51278925,0.268071293,0.352083553
GaborNN7Layer,3,0.576323988,0.005425073,0.567333333,0.005456016,24.08586778,0.547874683,0.320219444,0.404196091,0.703253385,0.228027566,0.344388356
GaborNN7Layer,4,0.608307373,0.005212311,0.639,0.005183526,25.37136617,0.585803247,0.398442828,0.474290136,0.678768774,0.521320187,0.589716055
GaborNN7Layer,5,0.618691589,0.005105607,0.635,0.005162845,26.44484635,0.594803959,0.463290194,0.520873952,0.638175979,0.606238445,0.621797378
GaborNN7Layer,6,0.645482866,0.004968812,0.642,0.005119013,24.82798225,0.641892064,0.464990704,0.539305248,0.745904083,0.421764882,0.538844753
GaborNN7Layer,7,0.655036345,0.004924555,0.659333333,0.004885853,26.47749321,0.647637323,0.487061154,0.555987319,0.695301873,0.562737859,0.622035501
GaborNN7Layer,8,0.666251298,0.004827262,0.668,0.004921492,26.36235943,0.667619443,0.492558723,0.566881519,0.757546334,0.494510175,0.598398503
GaborNN7Layer,9,0.666251298,0.004851001,0.662666667,0.004845091,26.18465708,0.671183681,0.489673129,0.56623799,0.7391725,0.500303134,0.596720594
GaborNN7Layer,10,0.6807892,0.004706156,0.672333333,0.004784641,26.10301512,0.695515454,0.500381803,0.582028724,0.762930778,0.499827157,0.603969314
GaborNN7Layer,11,0.672689512,0.004768497,0.671666667,0.004777769,24.54924663,0.693456256,0.476528938,0.564882316,0.789858239,0.473827538,0.592325389
GaborNN7Layer,12,0.68701973,0.004609665,0.686666667,0.004677926,25.78453902,0.708204382,0.497819461,0.584661614,0.752122631,0.566705121,0.646379705
GaborNN7Layer,13,0.693873313,0.004642811,0.697666667,0.004687567,25.90238794,0.731314669,0.489228513,0.586263548,0.726114151,0.628315897,0.673684204
GaborNN7Layer,14,0.703634476,0.004482967,0.693333333,0.00466227,26.42360835,0.747185087,0.496373127,0.596486105,0.811663489,0.507265768,0.624338418
GaborNN7Layer,15,0.694496366,0.004525036,0.657333333,0.005004914,26.14010145,0.729812143,0.493031077,0.588497464,0.741399426,0.477084606,0.580574294
GaborNN7Layer,16,0.700103842,0.004562214,0.663,0.004864636,25.98257469,0.760598198,0.481456605,0.589660014,0.833465965,0.411965616,0.551390096
GaborNN7Layer,17,0.702180685,0.004535946,0.676666667,0.004833619,26.24049484,0.772086395,0.484954026,0.595726915,0.848724695,0.429360844,0.570242194
GaborNN7Layer,18,0.717549325,0.00441188,0.703333333,0.004673661,26.34157784,0.783288746,0.51010813,0.61784896,0.788683359,0.557825703,0.653464372
GaborNN7Layer,19,0.724610592,0.004373273,0.717333333,0.004426793,26.76951042,0.790695331,0.52412869,0.630390229,0.818333477,0.55326191,0.660184114
GaborNN7Layer,20,0.724818276,0.004371027,0.703666667,0.00452158,25.97220346,0.783384309,0.525415956,0.628976975,0.759640759,0.608296857,0.675596724
GaborNN7Layer,21,0.733541018,0.00423798,0.714666667,0.004673844,26.24933429,0.787341509,0.544940716,0.644089424,0.843335386,0.519606264,0.643024372
GaborNN7Layer,22,0.734579439,0.004148284,0.705333333,0.004631647,26.53180042,0.804038452,0.533482796,0.641396437,0.85650076,0.496279471,0.628429857
GaborNN7Layer,23,0.731671859,0.004212679,0.692,0.00496537,26.15139704,0.798620457,0.530085676,0.637217296,0.850715435,0.470709417,0.606072704
GaborNN7Layer,24,0.735617861,0.0042194,0.716333333,0.004529431,26.43878323,0.798750755,0.541290048,0.645287566,0.831426358,0.545803746,0.658997534
GaborNN7Layer,25,0.742886812,0.004122494,0.692333333,0.004822091,26.34978195,0.817847739,0.549038799,0.657011577,0.782344877,0.535716932,0.635957122
GaborNN7Layer,26,0.742471443,0.004123356,0.712333333,0.004441844,26.51993921,0.811920304,0.547939111,0.65430718,0.817867134,0.54707356,0.655608682
GaborNN7Layer,27,0.753478712,0.004007333,0.716333333,0.004504298,26.33857953,0.836013466,0.551386459,0.664504151,0.806115519,0.574558034,0.670919127
GaborNN7Layer,28,0.762824507,0.003888403,0.728666667,0.004520965,26.16226663,0.828023496,0.588205512,0.687809643,0.811618876,0.589105245,0.682688232
GaborNN7Layer,29,0.754724818,0.004008218,0.715333333,0.004727834,26.16655894,0.835558008,0.55767334,0.668903159,0.79637644,0.56460612,0.660756464
GaborNN7Layer,30,0.760747664,0.003888941,0.720333333,0.004880425,27.20529282,0.823851626,0.590018528,0.687598819,0.807772148,0.58352718,0.677578138
